x,y_obs,y_calc,y_bkg,struct_Li3PO4,struct_LiFePO4
64.2,0.01,0.01,-0.0,0.0,0.01
64.25,0.01,0.01,-0.0,0.0,0.01
64.3,0.01,0.01,-0.0,0.0,0.02
64.35,0.01,0.02,-0.0,0.0,0.02
64.4,0.02,0.02,-0.0,0.0,0.02
64.45,0.02,0.03,-0.0,0.0,0.03
64.5,0.03,0.03,-0.0,0.0,0.03
64.55,0.04,0.04,-0.0,0.0,0.04
64.6,0.05,0.04,-0.0,0.0,0.04
64.65,0.05,0.05,-0.0,0.0,0.05
64.7,0.05,0.05,-0.0,0.0,0.05
64.75,0.05,0.04,-0.0,0.0,0.04
64.8,0.04,0.04,-0.0,0.0,0.04
64.85,0.04,0.04,-0.0,0.0,0.04
64.9,0.03,0.03,-0.0,0.0,0.03
64.95,0.02,0.03,-0.0,0.0,0.03
65.0,0.02,0.02,-0.0,0.0,0.02
65.05,0.02,0.02,-0.0,0.0,0.02
65.1,0.02,0.02,-0.0,0.0,0.02
65.15,0.01,0.01,-0.0,0.0,0.02
65.2,0.01,0.01,-0.0,0.0,0.01
65.25,0.01,0.01,-0.0,0.0,0.01
65.3,0.01,0.01,-0.0,0.0,0.01
65.35,0.01,0.01,-0.0,0.0,0.01
65.4,0.01,0.01,-0.0,0.0,0.01
65.45,0.0,0.0,-0.0,0.0,0.01
65.5,0.0,0.0,-0.0,0.0,0.01
65.55,0.0,0.0,-0.0,0.0,0.0
65.6,0.0,0.0,-0.0,0.0,0.0
65.65,0.0,0.0,-0.0,0.0,0.0
65.7,0.0,0.0,-0.0,0.0,0.01
65.75,0.0,0.0,-0.0,0.0,0.01
65.8,0.0,0.01,-0.0,0.0,0.01
65.85,0.01,0.01,-0.0,0.0,0.01
65.9,0.01,0.01,-0.0,0.0,0.01
65.95,0.01,0.01,-0.0,0.0,0.01
66.0,0.01,0.01,-0.0,0.0,0.01
66.05,0.01,0.02,-0.0,0.0,0.02
66.1,0.02,0.02,-0.0,0.0,0.02
66.15,0.02,0.02,-0.0,0.0,0.02
66.2,0.03,0.03,-0.0,0.0,0.03
66.25,0.03,0.03,-0.0,0.0,0.03
66.3,0.03,0.03,-0.0,0.0,0.03
66.35,0.04,0.03,-0.0,0.0,0.04
66.4,0.04,0.03,-0.0,0.0,0.04
66.45,0.04,0.03,-0.0,0.0,0.03
66.5,0.03,0.03,-0.0,0.0,0.03
66.55,0.03,0.03,-0.0,0.0,0.03
66.6,0.02,0.03,-0.0,0.0,0.03
66.65,0.02,0.03,-0.0,0.0,0.03
66.7,0.02,0.03,-0.0,0.0,0.03
66.75,0.02,0.03,-0.0,0.0,0.03
66.8,0.02,0.03,-0.0,0.0,0.03
66.85,0.03,0.04,-0.0,0.0,0.04
66.9,0.05,0.04,-0.0,0.0,0.04
66.95,0.06,0.05,-0.0,0.0,0.05
67.0,0.07,0.06,-0.0,0.0,0.06
67.05,0.08,0.06,-0.0,0.0,0.06
67.1,0.08,0.06,-0.0,0.0,0.07
67.15,0.08,0.06,-0.0,0.0,0.06
67.2,0.07,0.06,-0.0,0.0,0.06
67.25,0.05,0.06,-0.0,0.0,0.06
67.3,0.04,0.05,-0.0,0.0,0.05
67.35,0.03,0.04,-0.0,0.0,0.04
67.4,0.02,0.04,-0.0,0.0,0.04
67.45,0.02,0.03,-0.0,0.0,0.03
67.5,0.01,0.03,-0.0,0.0,0.03
67.55,0.01,0.03,-0.0,0.0,0.03
67.6,0.01,0.02,-0.0,0.0,0.03
67.65,0.02,0.02,-0.0,0.0,0.03
67.7,0.02,0.02,-0.0,0.0,0.03
67.75,0.02,0.03,-0.0,0.0,0.03
67.8,0.02,0.03,-0.0,0.0,0.03
67.85,0.02,0.03,-0.0,0.0,0.03
67.9,0.03,0.04,-0.0,0.0,0.04
67.95,0.04,0.04,-0.0,0.0,0.05
68.0,0.05,0.05,-0.0,0.0,0.05
68.05,0.06,0.06,-0.0,0.0,0.06
68.1,0.07,0.06,-0.0,0.0,0.07
68.15,0.08,0.07,-0.0,0.0,0.07
68.2,0.08,0.07,-0.0,0.0,0.07
68.25,0.08,0.07,-0.0,0.0,0.07
68.3,0.07,0.06,-0.0,0.0,0.07
68.35,0.06,0.06,-0.0,0.0,0.06
68.4,0.05,0.05,-0.0,0.0,0.06
68.45,0.04,0.05,-0.0,0.0,0.05
68.5,0.04,0.04,-0.0,0.0,0.05
68.55,0.03,0.04,-0.0,0.0,0.04
68.6,0.03,0.04,-0.0,0.0,0.04
68.65,0.03,0.04,-0.0,0.0,0.04
68.7,0.03,0.03,-0.0,0.0,0.04
68.75,0.04,0.03,-0.0,0.0,0.03
68.8,0.03,0.03,-0.0,0.0,0.03
68.85,0.03,0.03,-0.0,0.0,0.03
68.9,0.03,0.03,-0.0,0.0,0.03
