2theta,intensity,b1,b2,h,k,l,phase,phase_idx
59.76301025931362,0.0019438479127567992,0.00055109,7.722015625e-07,6,1,1,LiFePO4,1
60.17420178408206,9.782963762464834e-05,0.00055109,7.916728575999999e-07,5,0,2,LiFePO4,1
60.278051139347674,0.0025822937399558404,0.00055109,7.966455025e-07,1,0,3,LiFePO4,1
61.714422946358226,0.0002458672753465068,0.00055109,8.6750596e-07,0,1,3,LiFePO4,1
61.965492262613125,0.008148493144815616,0.00055109,8.803130625e-07,1,3,2,LiFePO4,1
62.13727907151923,0.0900413074004752,0.00055109,8.891358435999999e-07,0,4,0,LiFePO4,1
62.20435221704833,0.004328592711479862,0.00055109,8.926092484e-07,4,2,2,LiFePO4,1
62.34741501232748,0.03251054441339855,0.00055109,9.000127161e-07,5,1,2,LiFePO4,1
62.344849393384,0.0014607146271852734,0.00055109,8.998799043999999e-07,4,3,1,LiFePO4,1
62.44912729529532,0.04695400934866227,0.00055109,9.053141903999999e-07,1,1,3,LiFePO4,1
62.49672828272192,0.016330440010504262,0.00055109,9.078087841000001e-07,2,0,3,LiFePO4,1
62.7087638735075,0.0874560608339695,0.00055109,9.189331321000001e-07,6,2,0,LiFePO4,1
64.1502697293707,0.0008941132995012038,0.00055109,9.969822801000001e-07,2,3,2,LiFePO4,1
64.62471284445122,0.027587286739452814,0.00055109,1.0235368899999998e-06,2,1,3,LiFePO4,1
65.0369290302597,0.005003579339861353,0.00055109,1.04714289e-06,2,4,0,LiFePO4,1
66.09951838110072,0.0035218528306238217,0.00055109,1.1092302400000001e-06,3,0,3,LiFePO4,1
66.18309814983914,0.00027907199079588933,0.00055109,1.11429136e-06,6,2,1,LiFePO4,1
66.33890029853622,0.018168354149690605,0.00055109,1.1236e-06,1,4,1,LiFePO4,1
67.07418465475688,0.0409671738098238,0.00055109,1.1683448100000002e-06,7,0,1,LiFePO4,1
67.70568950267705,0.0055640114583337145,0.00055109,1.2075812100000001e-06,3,3,2,LiFePO4,1
68.11565646901295,0.012170985908152746,0.00055109,1.23343236e-06,6,0,2,LiFePO4,1
68.16728480998526,0.0306123694109696,0.00055109,1.2367664099999999e-06,3,1,3,LiFePO4,1
68.4484520688759,0.0011162434602720911,0.00055109,1.25484804e-06,2,4,1,LiFePO4,1
68.63230129378017,0.005048106521167722,0.00055109,1.26675025e-06,5,2,2,LiFePO4,1
68.72904572488015,0.0022954383555525938,0.00055109,1.2730608900000002e-06,1,2,3,LiFePO4,1
68.76576875836804,0.008441325092637012,0.00055109,1.2753184899999998e-06,5,3,1,LiFePO4,1
69.12758053769005,0.003184312230216549,0.00055109,1.29914404e-06,7,1,1,LiFePO4,1
70.15454831101364,0.01862739329173113,0.00055109,1.36796416e-06,6,1,2,LiFePO4,1
70.80449350133873,0.06914511929092076,0.00055109,1.4125322500000003e-06,2,2,3,LiFePO4,1
70.98315909609637,0.009236129846390707,0.00055109,1.42491969e-06,4,0,3,LiFePO4,1
71.89889437402857,0.020629585147571607,0.00055109,1.4898643600000002e-06,3,4,1,LiFePO4,1
72.53858440472253,0.013915699864625394,0.00055109,1.5361123600000002e-06,4,3,2,LiFePO4,1
73.00673892154983,0.03747216458096874,0.00055109,1.5707608899999999e-06,6,3,0,LiFePO4,1
72.98645408684345,0.03401362773941666,0.00055109,1.56925729e-06,4,1,3,LiFePO4,1
73.37614251828268,0.0010399984273390514,0.00055109,1.59820164e-06,4,4,0,LiFePO4,1
74.07958459757661,0.0005220030271495987,0.00055109,1.65148201e-06,8,0,0,LiFePO4,1
74.20765939170437,0.017315722426062538,0.00055109,1.6612632099999998e-06,3,2,3,LiFePO4,1
75.13492645599958,0.04709351220000066,0.00055109,1.73343556e-06,7,2,1,LiFePO4,1
75.606488432186,0.008401271571653412,0.00055109,1.77076249e-06,0,4,2,LiFePO4,1
76.05116024172445,0.0007270050339267577,0.00055109,1.806336e-06,8,1,0,LiFePO4,1
76.12872162046469,0.0009403776355944588,0.00055109,1.81279296e-06,6,2,2,LiFePO4,1
76.25675481738247,0.0037281856844264766,0.00055109,1.82304004e-06,6,3,1,LiFePO4,1
76.2755516480227,0.01358590996535058,0.00055109,1.8246606400000002e-06,1,4,2,LiFePO4,1
76.62049783993459,0.005851463145741524,0.00055109,1.8528654399999997e-06,4,4,1,LiFePO4,1
76.96961404247759,0.002533113379946481,0.00055109,1.88156089e-06,7,0,2,LiFePO4,1
77.06208836004274,0.002887704620951049,0.00055109,1.8892502500000002e-06,5,0,3,LiFePO4,1
77.31357696853796,5.3271613625297695e-05,0.00055109,1.909924e-06,8,0,1,LiFePO4,1
78.00246998122444,0.0025588223441115354,0.00055109,1.9681284099999998e-06,0,3,3,LiFePO4,1
78.27170238753372,0.018168478017634274,0.00055109,1.990921e-06,2,4,2,LiFePO4,1
78.57324077475315,0.019194057526855955,0.00055109,2.01696804e-06,5,3,2,LiFePO4,1
78.66515569320532,0.009746446304982016,0.00055109,2.024929e-06,1,3,3,LiFePO4,1
78.88027371529849,0.00048481634393082653,0.00055109,2.04347025e-06,4,2,3,LiFePO4,1
78.91746157587217,0.00024078996338379205,0.00055109,2.04661636e-06,7,1,2,LiFePO4,1
79.00926726441995,0.00172108633166303,0.00055109,2.05463556e-06,5,1,3,LiFePO4,1
79.25896335284371,0.0010406385116968158,0.00055109,2.076481e-06,8,1,1,LiFePO4,1
80.64436628451342,0.00709777491927484,0.00055109,2.1998822400000003e-06,2,3,3,LiFePO4,1
81.56791471779982,0.00040283555840936566,0.00055109,2.28432996e-06,3,4,2,LiFePO4,1
81.8756239525661,2.2928089844962817e-05,0.00055109,2.3128326400000004e-06,8,2,0,LiFePO4,1
82.5617088001411,0.001546984086451432,0.00055109,2.37745561e-06,5,4,1,LiFePO4,1
82.86064410481879,0.007570750017728712,0.00055109,2.40591121e-06,0,0,4,LiFePO4,1
82.94571627299945,0.005238212854684979,0.00055109,2.4139836900000004e-06,2,5,0,LiFePO4,1
83.48668120328226,0.0033412698648833212,0.00055109,2.4658420899999998e-06,0,5,1,LiFePO4,1
83.51420552836564,0.005850638205522603,0.00055109,2.46835521e-06,1,0,4,LiFePO4,1
83.91924056107405,0.01441458995564692,0.00055109,2.5077889599999997e-06,3,3,3,LiFePO4,1
84.13942395642437,0.007698548842542098,0.00055109,2.52937216e-06,1,5,1,LiFePO4,1
84.30102644557252,0.001235843904727265,0.00055109,2.5449820900000002e-06,6,0,3,LiFePO4,1
84.69287875531333,0.011484209648268583,0.00055109,2.58373476e-06,7,2,2,LiFePO4,1
84.78335957288687,0.016055655976512914,0.00055109,2.59274404e-06,5,2,3,LiFePO4,1
84.81771843940206,0.0030792278214766032,0.00055109,2.59628769e-06,7,3,1,LiFePO4,1
85.02952931100585,0.011916834203771053,0.00055109,2.6172768399999998e-06,8,2,1,LiFePO4,1
85.42779521276753,0.00028652338076267785,0.00055109,2.65722601e-06,1,1,4,LiFePO4,1
