2theta,intensity,b1,b2,h,k,l,phase,phase_idx
36.247927337737764,0.8613440127549447,0.0048945,4.458009960000001e-10,1,3,-2,CaNi(PO3)4_15_sym,0
37.59013096376877,27.97068924163445,0.0048945,5.135209209999999e-10,1,1,3,CaNi(PO3)4_15_sym,0
36.79523954288491,368.52642895299397,0.0048945,4.72584121e-10,4,2,-2,CaNi(PO3)4_15_sym,0
37.63596538157558,101.18441945785969,0.0048945,5.159712249999999e-10,0,2,3,CaNi(PO3)4_15_sym,0
36.85868971163215,16.42622534011323,0.0048945,4.75763344e-10,4,2,-1,CaNi(PO3)4_15_sym,0
38.63160088083993,34.23860805868316,0.0048945,5.709710250000001e-10,2,2,2,CaNi(PO3)4_15_sym,0
38.855148117875565,0.9644766402965177,0.0048945,5.83898896e-10,3,1,-4,CaNi(PO3)4_15_sym,0
38.509015723616926,3.515046455306571,0.0048945,5.63967504e-10,3,3,-1,CaNi(PO3)4_15_sym,0
40.03341365461689,102.31597758140887,0.0048945,6.55411201e-10,1,1,-4,CaNi(PO3)4_15_sym,0
38.924025792808095,0.12506990298356585,0.0048945,5.87917009e-10,5,1,-2,CaNi(PO3)4_15_sym,0
39.68275676319581,26.944991887417757,0.0048945,6.334785609999999e-10,4,0,-4,CaNi(PO3)4_15_sym,0
39.68465334668085,14.29680662873907,0.0048945,6.33629584e-10,4,2,-3,CaNi(PO3)4_15_sym,0
39.55109431113461,5.916201913951244,0.0048945,6.25400064e-10,3,3,-2,CaNi(PO3)4_15_sym,0
39.862880108586445,39.124395073096125,0.0048945,6.447028810000001e-10,4,2,0,CaNi(PO3)4_15_sym,0
40.07512686928108,197.25212831659974,0.0048945,6.58076409e-10,5,1,-1,CaNi(PO3)4_15_sym,0
40.71234086034452,11.03339889022114,0.0048945,6.99390916e-10,1,3,2,CaNi(PO3)4_15_sym,0
40.35063623436136,71.86983334478944,0.0048945,6.756880359999999e-10,3,3,0,CaNi(PO3)4_15_sym,0
40.633193847442456,27.242183860022063,0.0048945,6.94111716e-10,5,1,-3,CaNi(PO3)4_15_sym,0
41.24883905109535,21.273816658394512,0.0048945,7.35548641e-10,3,1,2,CaNi(PO3)4_15_sym,0
41.97222941315915,28.628404337843335,0.0048945,7.864659360000001e-10,0,0,4,CaNi(PO3)4_15_sym,0
42.660759420026274,21.861788236470268,0.0048945,8.37176356e-10,2,2,-4,CaNi(PO3)4_15_sym,0
41.75176715236907,64.06988522698866,0.0048945,7.706731210000001e-10,0,4,0,CaNi(PO3)4_15_sym,0
42.36093219010167,377.55555998128244,0.0048945,8.14817025e-10,1,3,-3,CaNi(PO3)4_15_sym,0
43.30137759837829,7.943281238670615,0.0048945,8.86491076e-10,3,3,-3,CaNi(PO3)4_15_sym,0
43.10410845973363,25.59828334565321,0.0048945,8.710761959999999e-10,0,4,1,CaNi(PO3)4_15_sym,0
43.89771997940323,3.8072637475527675,0.0048945,9.34158096e-10,5,1,0,CaNi(PO3)4_15_sym,0
44.77737507700751,4.285704316468646,0.0048945,1.007745025e-09,3,3,1,CaNi(PO3)4_15_sym,0
44.929630945612644,0.11879701764860456,0.0048945,1.0209303040000002e-09,5,1,-4,CaNi(PO3)4_15_sym,0
45.046014217074,0.3352181003891676,0.0048945,1.0310521000000001e-09,4,2,-4,CaNi(PO3)4_15_sym,0
44.567057843993744,25.943577598719834,0.0048945,9.897945210000002e-10,2,4,-1,CaNi(PO3)4_15_sym,0
45.31365556201219,38.094697113881935,0.0048945,1.0546256250000002e-09,4,2,1,CaNi(PO3)4_15_sym,0
45.239890687911505,8.641831049314419,0.0048945,1.0480758759999998e-09,2,4,0,CaNi(PO3)4_15_sym,0
45.35461301246347,72.85177047973157,0.0048945,1.0582659609999998e-09,6,0,-2,CaNi(PO3)4_15_sym,0
47.12190693713615,45.697884825217365,0.0048945,1.2238802560000003e-09,0,2,4,CaNi(PO3)4_15_sym,0
46.457800157201895,0.3376018698688245,0.0048945,1.1596749160000002e-09,2,4,-2,CaNi(PO3)4_15_sym,0
47.362884563643384,31.560356632240406,0.0048945,1.247784976e-09,2,2,3,CaNi(PO3)4_15_sym,0
47.7965276743243,60.823164479107504,0.0048945,1.2916836e-09,3,1,-5,CaNi(PO3)4_15_sym,0
48.023149773561435,2.4671922958402246,0.0048945,1.315005169e-09,1,1,4,CaNi(PO3)4_15_sym,0
46.97128330919097,19.503216342767285,0.0048945,1.209091984e-09,0,4,2,CaNi(PO3)4_15_sym,0
47.92541653036524,19.825112337128793,0.0048945,1.304943376e-09,4,0,2,CaNi(PO3)4_15_sym,0
48.21776049817546,48.59798179815302,0.0048945,1.3353177639999998e-09,1,3,3,CaNi(PO3)4_15_sym,0
48.39203854069951,32.380189411982926,0.0048945,1.3536512640000002e-09,2,4,1,CaNi(PO3)4_15_sym,0
48.93062235855692,0.6093056801859857,0.0048945,1.4115049e-09,6,0,-4,CaNi(PO3)4_15_sym,0
49.256999808573035,32.0352567530864,0.0048945,1.4473459359999997e-09,3,3,-4,CaNi(PO3)4_15_sym,0
50.61460864169491,38.56957403366212,0.0048945,1.6034418490000002e-09,1,1,-5,CaNi(PO3)4_15_sym,0
50.23608776407619,109.80235722866958,0.0048945,1.558828324e-09,1,3,-4,CaNi(PO3)4_15_sym,0
49.31394504546642,21.505679678310678,0.0048945,1.4536681290000002e-09,5,3,-2,CaNi(PO3)4_15_sym,0
50.50725149805497,1.9650711631439859,0.0048945,1.5906536889999998e-09,3,1,3,CaNi(PO3)4_15_sym,0
49.89636361525028,43.36364273453696,0.0048945,1.5195183609999998e-09,5,1,1,CaNi(PO3)4_15_sym,0
50.228892635126165,0.9485284897916354,0.0048945,1.5579598410000001e-09,6,2,-2,CaNi(PO3)4_15_sym,0
50.270938554673045,24.096077731113148,0.0048945,1.5628580890000002e-09,5,3,-1,CaNi(PO3)4_15_sym,0
50.687842824700226,15.178476841794645,0.0048945,1.6121831039999998e-09,2,4,-3,CaNi(PO3)4_15_sym,0
51.2969182851853,7.238581421988251,0.0048945,1.686087844e-09,5,1,-5,CaNi(PO3)4_15_sym,0
50.738403124946096,103.85952580515824,0.0048945,1.618211529e-09,5,3,-3,CaNi(PO3)4_15_sym,0
51.256655127256636,77.20058095264821,0.0048945,1.6811640039999998e-09,3,3,2,CaNi(PO3)4_15_sym,0
51.947477431805105,0.6623768622197469,0.0048945,1.767697936e-09,2,2,-5,CaNi(PO3)4_15_sym,0
50.745650284659455,8.674193023494311,0.0048945,1.6190966440000002e-09,6,2,-3,CaNi(PO3)4_15_sym,0
52.78448794890329,15.888862228214547,0.0048945,1.876535761e-09,2,0,4,CaNi(PO3)4_15_sym,0
51.596668211907584,3.719763984260673,0.0048945,1.723329169e-09,6,0,0,CaNi(PO3)4_15_sym,0
52.28313453508153,32.80323758356781,0.0048945,1.8107578089999997e-09,4,2,-5,CaNi(PO3)4_15_sym,0
52.61799732413872,168.01320098003794,0.0048945,1.8545080959999999e-09,4,2,2,CaNi(PO3)4_15_sym,0
52.05698019536995,15.173760261536888,0.0048945,1.7816840999999999e-09,6,2,-1,CaNi(PO3)4_15_sym,0
52.28771882061023,3.040344831262429,0.0048945,1.8113535999999999e-09,4,4,-2,CaNi(PO3)4_15_sym,0
52.92600994984427,5.561866092478028,0.0048945,1.8953832959999998e-09,0,4,3,CaNi(PO3)4_15_sym,0
52.33564668704509,1.8826925571213269,0.0048945,1.8175726890000002e-09,4,4,-1,CaNi(PO3)4_15_sym,0
53.69074931852518,2.2811363242516607,0.0048945,1.9995206559999996e-09,2,4,2,CaNi(PO3)4_15_sym,0
53.55790769242745,27.46556213935091,0.0048945,1.9811401e-09,6,2,-4,CaNi(PO3)4_15_sym,0
53.515365334518705,7.503943309978392,0.0048945,1.9752691359999997e-09,5,3,0,CaNi(PO3)4_15_sym,0
53.57078622374698,12.267036025185531,0.0048945,1.9829209000000003e-09,1,5,0,CaNi(PO3)4_15_sym,0
53.84151596896077,148.8770025076005,0.0048945,2.0205025e-09,1,5,-1,CaNi(PO3)4_15_sym,0
54.40716229599981,1.838505454259274,0.0048945,2.1005722239999996e-09,5,3,-4,CaNi(PO3)4_15_sym,0
54.50962105347501,5.746265710558071,0.0048945,2.115356049e-09,4,4,-3,CaNi(PO3)4_15_sym,0
54.530285123578814,44.136045267112316,0.0048945,2.1183006250000002e-09,7,1,-3,CaNi(PO3)4_15_sym,0
54.649202782110564,70.39059695912286,0.0048945,2.1355489439999997e-09,4,4,0,CaNi(PO3)4_15_sym,0
54.89048228956503,99.97378590245748,0.0048945,2.170721281e-09,7,1,-2,CaNi(PO3)4_15_sym,0
56.75598280444445,0.032273219487154184,0.0048945,2.4563918439999997e-09,4,0,-6,CaNi(PO3)4_15_sym,0
55.53867726988178,5.41955003260997,0.0048945,2.267283456e-09,1,5,1,CaNi(PO3)4_15_sym,0
57.18800962641315,26.192917634702944,0.0048945,2.525967081e-09,2,2,4,CaNi(PO3)4_15_sym,0
56.064916484649984,20.22487926112084,0.0048945,2.347790116e-09,6,2,0,CaNi(PO3)4_15_sym,0
57.49626748516212,1.7901243641494478,0.0048945,2.576476081e-09,0,2,5,CaNi(PO3)4_15_sym,0
56.91652637644139,112.24462653280834,0.0048945,2.482132041e-09,3,3,-5,CaNi(PO3)4_15_sym,0
57.11676249448677,1.660168204632784,0.0048945,2.514420736e-09,1,3,4,CaNi(PO3)4_15_sym,0
57.780824310906,1.6613291638802306,0.0048945,2.623693284e-09,3,1,-6,CaNi(PO3)4_15_sym,0
56.384301026942545,27.279748029475876,0.0048945,2.3975712250000004e-09,7,1,-4,CaNi(PO3)4_15_sym,0
56.8760726032303,23.35908862399909,0.0048945,2.475560025e-09,2,4,-4,CaNi(PO3)4_15_sym,0
56.328685919563746,14.295588017662155,0.0048945,2.388863376e-09,1,5,-2,CaNi(PO3)4_15_sym,0
58.08479468534338,28.961032767190222,0.0048945,2.674751524e-09,2,0,-6,CaNi(PO3)4_15_sym,0
57.58478894041739,0.3852673389415999,0.0048945,2.5911154089999995e-09,5,1,2,CaNi(PO3)4_15_sym,0
